time_period,gdd_2020,mean_gdd,sd_gdd,precip_2020,mean_precip,sd_precip
Annual,2642.9594999999917,2729.57131147541,176.19585399082203,1024.6360043688,909.5967213114754,186.86432428807993
Jan,1.2064999999999317,1.676639344262295,2.864279757637072,52.324000431799995,33.09672131147541,24.080632231432226
Feb,1.7819999999999725,4.978278688524591,8.794271679222323,9.3980002794,33.864754098360656,23.177296964209003
Mar,52.390499999999335,46.28483606557377,36.62639379873722,82.0420012192,60.42131147540984,33.305987423672306
Apr,139.14399999999932,156.2483606557377,45.525481437325375,41.4019998984,87.97622950819672,42.88136055661667
May,299.2229999999989,331.33811475409834,58.158071522303196,108.2039970536,108.53524590163934,58.948460360425464
Jun,501.44999999999885,470.783606557377,47.78468297876542,201.9300029972,120.5795081967213,59.31132170505694
Jul,524.439999999999,557.9696721311475,47.124557808556084,194.05600050799998,97.8016393442623,60.8992502004441
Aug,521.2299999999989,520.608606557377,45.91458819140244,9.906,102.6467213114754,67.42330100259835
Sep,360.0179999999989,380.54139344262296,45.44720881364841,141.732,95.93442622950819,67.8233531668262
Oct,149.69299999999924,204.61680327868854,53.53458703216812,49.276000406399994,71.68934426229508,48.479785013326484
Nov,90.57799999999955,48.96844262295082,31.43253644142179,74.4220002794,55.30983606557377,38.86617091115637
Dec,1.8044999999999147,5.55655737704918,7.750379758276823,59.94400129539999,41.74098360655738,24.042616275514398
